abstain_precision,abstain_rate,abstain_recall,accuracy_when_gold_present,answer_acc_given_gold_selected,cite_f1,decomposition_line,drop_rate,entailment,exact_acc,gold_missing_rate,gold_present_rate,gold_support_selected_rate,mtime,pattern,rows,run_dir,run_name,selected_note_rate,selected_wrong_update_rate,selection_rate,spoof_accept_rate,state_integrity_rate,support_consistency_rate,value_acc,value_acc_when_gold_selected,value_is_substring_of_selected_line_rate,wrong_update_rate
,0.0,,0.0625,0.07142857142857142,0.875,1.0000 -> 0.8750 -> 0.0625 -> 0.0625,0.0,0.0625,0.0625,0.0,1.0,0.875,1767420088.1012995,abstain_update_burst_k8_rate0.34_drop0,3,runs\abstain_update_burst_k8_rate0.34_drop0_s3q16,abstain_update_burst_k8_rate0.34_drop0_s3q16,0.0,1.0,0.875,0.8541666666666666,,1.0,0.0625,0.07142857142857142,,0.125
,0.0,,0.9166666666666666,1.0,0.9166666666666666,1.0000 -> 0.9167 -> 0.9167 -> 0.9167,0.0,1.0,0.9166666666666666,0.0,1.0,0.9166666666666666,1767420245.1703556,abstain_update_burst_k8_rate0.34_drop0_s3q16_full,3,runs\abstain_update_burst_k8_rate0.34_drop0_s3q16_full,abstain_update_burst_k8_rate0.34_drop0_s3q16_full,0.0,1.0,0.9166666666666666,0.75,,1.0,0.9166666666666666,1.0,1.0,0.08333333333333333
,,,0.0,,0.0,,0.3125,1.0,0.0,,,,1766554634.8488016,ab_pick_0_gold_first_k4_same,3,runs\ab_pick_0_gold_first_k4_same_s3q16,ab_pick_0_gold_first_k4_same_s3q16,,,0.0,,,,0.0,,,
,,,0.5625,,0.5625,,0.4375,1.0,0.5625,,,,1766557722.7828567,ab_pick_0_gold_last_k4_same,3,runs\ab_pick_0_gold_last_k4_same_s3q16,ab_pick_0_gold_last_k4_same_s3q16,,,0.5625,,,,0.5625,,,
,,,0.0,,0.0,,0.4375,1.0,0.0,,,,1766556185.8244164,ab_pick_0_gold_middle_k4_same,3,runs\ab_pick_0_gold_middle_k4_same_s3q16,ab_pick_0_gold_middle_k4_same_s3q16,,,0.0,,,,0.0,,,
,,,0.20833333333333334,,0.20833333333333334,,0.375,1.0,0.20833333333333334,,,,1766559280.3825288,ab_pick_0_shuffle_k4_same,3,runs\ab_pick_0_shuffle_k4_same_s3q16,ab_pick_0_shuffle_k4_same_s3q16,,,0.20833333333333334,,,,0.20833333333333334,,,
,,,0.0,,0.0,,0.4375,1.0,0.0,,,,1766561745.8155448,ab_pick_1_gold_first_k4_same,3,runs\ab_pick_1_gold_first_k4_same_s3q16,ab_pick_1_gold_first_k4_same_s3q16,,,0.0,,,,0.0,,,
,,,0.4166666666666667,,0.4166666666666667,,0.3125,1.0,0.4166666666666667,,,,1766566664.2252853,ab_pick_1_gold_last_k4_same,3,runs\ab_pick_1_gold_last_k4_same_s3q16,ab_pick_1_gold_last_k4_same_s3q16,,,0.4166666666666667,,,,0.4166666666666667,,,
,,,0.020833333333333332,,0.020833333333333332,,0.625,1.0,0.020833333333333332,,,,1766564187.206563,ab_pick_1_gold_middle_k4_same,3,runs\ab_pick_1_gold_middle_k4_same_s3q16,ab_pick_1_gold_middle_k4_same_s3q16,,,0.020833333333333332,,,,0.020833333333333332,,,
,,,0.20833333333333334,,0.20833333333333334,,0.375,1.0,0.20833333333333334,,,,1766569150.61781,ab_pick_1_shuffle_k4_same,3,runs\ab_pick_1_shuffle_k4_same_s3q16,ab_pick_1_shuffle_k4_same_s3q16,,,0.20833333333333334,,,,0.20833333333333334,,,
,,,0.4375,,0.4375,,0.5625,1.0,0.4375,,,,1766614745.9110205,ab_rerank_latest_step_k1_same_shuffle,3,runs\ab_rerank_latest_step_k1_same_shuffle_s3q16,ab_rerank_latest_step_k1_same_shuffle_s3q16,,,0.4375,,,,0.4375,,,
,,,0.6666666666666666,,0.6666666666666666,1.0000 -> 0.6667 -> 0.6667 -> 0.6667,0.3333333333333333,1.0,0.6666666666666666,,1.0,,1766693072.6862533,ab_rerank_latest_step_k2_same_shuffle,5,runs\ab_rerank_latest_step_k2_same_shuffle_s5q24,ab_rerank_latest_step_k2_same_shuffle_s5q24,,,0.6666666666666666,,,,0.6666666666666666,,,
,,,0.625,,0.625,1.0000 -> 0.6250 -> 0.6250 -> 0.6250,0.375,1.0,0.625,,1.0,,1766695796.5745661,ab_rerank_latest_step_k4_same_shuffle,5,runs\ab_rerank_latest_step_k4_same_shuffle_s5q24,ab_rerank_latest_step_k4_same_shuffle_s5q24,,,0.625,,,,0.625,,,
,,,0.4166666666666667,,0.4166666666666667,1.0000 -> 0.4167 -> 0.4167 -> 0.4167,0.5833333333333334,1.0,0.4166666666666667,,1.0,,1766698528.2630062,ab_rerank_latest_step_k8_same_shuffle,5,runs\ab_rerank_latest_step_k8_same_shuffle_s5q24,ab_rerank_latest_step_k8_same_shuffle_s5q24,,,0.4166666666666667,,,,0.4166666666666667,,,
,,,0.5,,0.5,,0.1875,1.0,0.5,,,,1766605903.1912894,ab_rerank_none_k1_same_shuffle,3,runs\ab_rerank_none_k1_same_shuffle_s3q16,ab_rerank_none_k1_same_shuffle_s3q16,,,0.5,,,,0.5,,,
,,,0.31666666666666665,,0.31666666666666665,1.0000 -> 0.3167 -> 0.3167 -> 0.3167,0.4166666666666667,1.0,0.31666666666666665,,1.0,,1766677012.7666106,ab_rerank_none_k2_same_shuffle,5,runs\ab_rerank_none_k2_same_shuffle_s5q24,ab_rerank_none_k2_same_shuffle_s5q24,,,0.31666666666666665,,,,0.31666666666666665,,,
,,,0.16666666666666666,,0.16666666666666666,1.0000 -> 0.1667 -> 0.1667 -> 0.1667,0.4166666666666667,1.0,0.16666666666666666,,1.0,,1766683126.8531523,ab_rerank_none_k4_same_shuffle,5,runs\ab_rerank_none_k4_same_shuffle_s5q24,ab_rerank_none_k4_same_shuffle_s5q24,,,0.16666666666666666,,,,0.16666666666666666,,,
,,,0.15833333333333333,,0.15833333333333333,1.0000 -> 0.1583 -> 0.1583 -> 0.1583,0.4583333333333333,1.0,0.15833333333333333,,1.0,,1766690351.7563844,ab_rerank_none_k8_same_shuffle,5,runs\ab_rerank_none_k8_same_shuffle_s5q24,ab_rerank_none_k8_same_shuffle_s5q24,,,0.15833333333333333,,,,0.15833333333333333,,,
,,,0.0,,0.0,,0.375,1.0,0.0,,,,1766540837.1140325,ab_sandwich_0_gold_first_k4_same,3,runs\ab_sandwich_0_gold_first_k4_same_s3q16,ab_sandwich_0_gold_first_k4_same_s3q16,,,0.0,,,,0.0,,,
,,,0.5625,,0.5625,,0.4375,1.0,0.5625,,,,1766543469.2377071,ab_sandwich_0_gold_last_k4_same,3,runs\ab_sandwich_0_gold_last_k4_same_s3q16,ab_sandwich_0_gold_last_k4_same_s3q16,,,0.5625,,,,0.5625,,,
,,,0.020833333333333332,,0.020833333333333332,,0.5,1.0,0.020833333333333332,,,,1766542183.892018,ab_sandwich_0_gold_middle_k4_same,3,runs\ab_sandwich_0_gold_middle_k4_same_s3q16,ab_sandwich_0_gold_middle_k4_same_s3q16,,,0.020833333333333332,,,,0.020833333333333332,,,
,,,0.4583333333333333,,0.4583333333333333,,0.25,1.0,0.4583333333333333,,,,1766544814.25153,ab_sandwich_0_shuffle_k4_same,3,runs\ab_sandwich_0_shuffle_k4_same_s3q16,ab_sandwich_0_shuffle_k4_same_s3q16,,,0.4583333333333333,,,,0.4583333333333333,,,
,,,0.0,,0.0,,0.3125,1.0,0.0,,,,1766546636.6286867,ab_sandwich_1_gold_first_k4_same,3,runs\ab_sandwich_1_gold_first_k4_same_s3q16,ab_sandwich_1_gold_first_k4_same_s3q16,,,0.0,,,,0.0,,,
,,,0.5625,,0.5625,,0.4375,1.0,0.5625,,,,1766550710.4699607,ab_sandwich_1_gold_last_k4_same,3,runs\ab_sandwich_1_gold_last_k4_same_s3q16,ab_sandwich_1_gold_last_k4_same_s3q16,,,0.5625,,,,0.5625,,,
,,,0.0,,0.0,,0.25,1.0,0.0,,,,1766548843.0554569,ab_sandwich_1_gold_middle_k4_same,3,runs\ab_sandwich_1_gold_middle_k4_same_s3q16,ab_sandwich_1_gold_middle_k4_same_s3q16,,,0.0,,,,0.0,,,
,,,0.1875,,0.1875,,0.3125,1.0,0.1875,,,,1766552468.2377133,ab_sandwich_1_shuffle_k4_same,3,runs\ab_sandwich_1_shuffle_k4_same_s3q16,ab_sandwich_1_shuffle_k4_same_s3q16,,,0.1875,,,,0.1875,,,
,,,,,0.0,,0.0,1.0,0.0,,,,1766467288.184072,ambig_gold_first_k1,3,runs\ambig_gold_first_k1_s3q16,ambig_gold_first_k1_s3q16,,,,,,,0.0,,,
,,,,,0.0,,0.0,1.0,0.0,,,,1766447446.0861897,ambig_gold_first_k2,2,runs\ambig_gold_first_k2,ambig_gold_first_k2,,,,,,,0.0,,,
,,,,,0.0,,0.0,0.9916666666666666,0.0,,,,1766472822.194646,ambig_gold_first_k4,5,runs\ambig_gold_first_k4_s5q24,ambig_gold_first_k4_s5q24,,,,,,,0.0,,,
,,,,,0.0,,0.0,1.0,0.0,,,,1766517198.542905,ambig_gold_first_k4_other_key,3,runs\ambig_gold_first_k4_other_key_s3q16,ambig_gold_first_k4_other_key_s3q16,,,,,,,0.0,,,
,,,,,0.0,,0.0,1.0,0.0,,,,1766513009.5088444,ambig_gold_first_k4_same_key,3,runs\ambig_gold_first_k4_same_key_s3q16,ambig_gold_first_k4_same_key_s3q16,,,,,,,0.0,,,
,,,,,0.0,,0.0,1.0,0.0,,,,1766467288.5610611,ambig_gold_first_k8,3,runs\ambig_gold_first_k8_s3q16,ambig_gold_first_k8_s3q16,,,,,,,0.0,,,
,,,,,1.0,,0.0,1.0,1.0,,,,1766467288.7370553,ambig_gold_last_k1,3,runs\ambig_gold_last_k1_s3q16,ambig_gold_last_k1_s3q16,,,,,,,1.0,,,
,,,,,1.0,,0.0,1.0,1.0,,,,1766449300.2577443,ambig_gold_last_k2,2,runs\ambig_gold_last_k2,ambig_gold_last_k2,,,,,,,1.0,,,
,,,,,1.0,,0.0,1.0,1.0,,,,1766479152.5788054,ambig_gold_last_k4,5,runs\ambig_gold_last_k4_s5q24,ambig_gold_last_k4_s5q24,,,,,,,1.0,,,
,,,,,0.8541666666666666,,0.0,1.0,0.8541666666666666,,,,1766518534.9566588,ambig_gold_last_k4_other_key,3,runs\ambig_gold_last_k4_other_key_s3q16,ambig_gold_last_k4_other_key_s3q16,,,,,,,0.8541666666666666,,,
,,,,,1.0,,0.0,1.0,1.0,,,,1766514399.167164,ambig_gold_last_k4_same_key,3,runs\ambig_gold_last_k4_same_key_s3q16,ambig_gold_last_k4_same_key_s3q16,,,,,,,1.0,,,
,,,,,0.7916666666666666,,0.0,1.0,0.7916666666666666,,,,1766467289.1055107,ambig_gold_last_k8,3,runs\ambig_gold_last_k8_s3q16,ambig_gold_last_k8_s3q16,,,,,,,0.7916666666666666,,,
,,,,,0.25,,0.0,1.0,0.25,,,,1766476026.8841364,ambig_gold_middle_k4,5,runs\ambig_gold_middle_k4_s5q24,ambig_gold_middle_k4_s5q24,,,,,,,0.25,,,
,,,,,0.375,,0.0,1.0,0.375,,,,1766444548.3596265,ambig_k1,2,runs\ambig_k1,ambig_k1,,,,,,,0.375,,,
,,,,,0.375,,0.0,1.0,0.375,,,,1766444959.7562053,ambig_k2,2,runs\ambig_k2,ambig_k2,,,,,,,0.375,,,
,,,,,0.5,,0.0,1.0,0.5,,,,1766445454.1705115,ambig_k4,2,runs\ambig_k4,ambig_k4,,,,,,,0.5,,,
,,,,,0.25,,0.0,1.0,0.25,,,,1766446125.2191837,ambig_k8,2,runs\ambig_k8,ambig_k8,,,,,,,0.25,,,
,,,,,0.625,,0.0,1.0,0.625,,,,1766467289.2855058,ambig_shuffle_k1,3,runs\ambig_shuffle_k1_s3q16,ambig_shuffle_k1_s3q16,,,,,,,0.625,,,
,,,,,0.75,,0.0,1.0,0.75,,,,1766451180.6775284,ambig_shuffle_k2,2,runs\ambig_shuffle_k2,ambig_shuffle_k2,,,,,,,0.75,,,
,,,,,0.21666666666666665,,0.0,1.0,0.21666666666666665,,,,1766482342.9882324,ambig_shuffle_k4,5,runs\ambig_shuffle_k4_s5q24,ambig_shuffle_k4_s5q24,,,,,,,0.21666666666666665,,,
,,,,,0.625,,0.0,1.0,0.625,,,,1766519917.300117,ambig_shuffle_k4_other_key,3,runs\ambig_shuffle_k4_other_key_s3q16,ambig_shuffle_k4_other_key_s3q16,,,,,,,0.625,,,
,,,,,0.4166666666666667,,0.0,1.0,0.4166666666666667,,,,1766515865.8557596,ambig_shuffle_k4_same_key,3,runs\ambig_shuffle_k4_same_key_s3q16,ambig_shuffle_k4_same_key_s3q16,,,,,,,0.4166666666666667,,,
,,,,,0.3958333333333333,,0.0,1.0,0.3958333333333333,,,,1766467289.6545,ambig_shuffle_k8,3,runs\ambig_shuffle_k8_s3q16,ambig_shuffle_k8_s3q16,,,,,,,0.3958333333333333,,,
,,,0.7708333333333334,0.9310344827586207,0.7708333333333334,1.0000 -> 0.6042 -> 0.7708 -> 0.7708,0.0,0.9166666666666666,0.7708333333333334,,1.0,0.7708333333333334,1767345879.0674112,authority_spoof_0.1_linear_k4,3,runs\authority_spoof_0.1_linear_k4_s3q16,authority_spoof_0.1_linear_k4_s3q16,0.08333333333333333,0.6363636363636364,0.6041666666666666,0.08333333333333333,,1.0,0.7708333333333334,0.9310344827586207,1.0,0.14583333333333334
,,,0.4375,0.6551724137931034,0.4375,1.0000 -> 0.6042 -> 0.4375 -> 0.4375,0.0,0.625,0.4375,,1.0,0.4375,1767346276.4946554,authority_spoof_0.5_filter0_linear_k4,3,runs\authority_spoof_0.5_filter0_linear_k4_s3q16,authority_spoof_0.5_filter0_linear_k4_s3q16,0.375,0.3333333333333333,0.6041666666666666,0.3958333333333333,,1.0,0.4375,0.6551724137931034,1.0,0.1875
,,,0.6875,0.6875,0.6875,1.0000 -> 1.0000 -> 0.6875 -> 0.6875,0.0,0.6875,0.6875,,1.0,0.6875,1767349210.64274,authority_spoof_0.5_filter0_linear_spoofpen_hardneg_k4,3,runs\authority_spoof_0.5_filter0_linear_spoofpen_hardneg_k4_s3q16,authority_spoof_0.5_filter0_linear_spoofpen_hardneg_k4_s3q16,0.3125,0.0,1.0,0.625,,1.0,0.6875,0.6875,1.0,0.0
,,,0.2708333333333333,0.45,0.2708333333333333,1.0000 -> 0.4167 -> 0.2708 -> 0.2708,0.0,0.625,0.2708333333333333,,1.0,0.2708333333333333,1767346472.169185,authority_spoof_0.5_filter0_prefer_update_latest_k4,3,runs\authority_spoof_0.5_filter0_prefer_update_latest_k4_s3q16,authority_spoof_0.5_filter0_prefer_update_latest_k4_s3q16,0.375,0.4857142857142857,0.4166666666666667,0.3958333333333333,,1.0,0.2708333333333333,0.45,1.0,0.3541666666666667
,,,0.75,1.0,0.75,1.0000 -> 0.7500 -> 0.7500 -> 0.7500,0.0,1.0,0.75,,1.0,0.75,1767348657.3091438,authority_spoof_0.5_filter1_linear_hardneg_k4,3,runs\authority_spoof_0.5_filter1_linear_hardneg_k4_s3q16,authority_spoof_0.5_filter1_linear_hardneg_k4_s3q16,0.0,1.0,0.75,1.0,,1.0,0.75,1.0,1.0,0.25
,,,0.4583333333333333,1.0,0.4583333333333333,1.0000 -> 0.4583 -> 0.4583 -> 0.4583,0.0,1.0,0.4583333333333333,,1.0,0.4583333333333333,1767346278.5253468,authority_spoof_0.5_filter1_linear_k4,3,runs\authority_spoof_0.5_filter1_linear_k4_s3q16,authority_spoof_0.5_filter1_linear_k4_s3q16,0.0,1.0,0.4583333333333333,0.0,,1.0,0.4583333333333333,1.0,1.0,0.5416666666666666
,,,0.6875,1.0,0.6875,1.0000 -> 0.6875 -> 0.6875 -> 0.6875,0.0,1.0,0.6875,,1.0,0.6875,1767347139.4596083,authority_spoof_0.5_filter1_linear_latestfeat_k2,3,runs\authority_spoof_0.5_filter1_linear_latestfeat_k2_s3q16,authority_spoof_0.5_filter1_linear_latestfeat_k2_s3q16,0.0,1.0,0.6875,0.25,,1.0,0.6875,1.0,1.0,0.3125
,,,0.5625,1.0,0.5625,1.0000 -> 0.5625 -> 0.5625 -> 0.5625,0.0,1.0,0.5625,,1.0,0.5625,1767347141.5459995,authority_spoof_0.5_filter1_linear_latestfeat_k4,3,runs\authority_spoof_0.5_filter1_linear_latestfeat_k4_s3q16,authority_spoof_0.5_filter1_linear_latestfeat_k4_s3q16,0.0,1.0,0.5625,0.125,,1.0,0.5625,1.0,1.0,0.4375
,,,0.3958333333333333,1.0,0.3958333333333333,1.0000 -> 0.3958 -> 0.3958 -> 0.3958,0.0,1.0,0.3958333333333333,,1.0,0.3958333333333333,1767347143.5492268,authority_spoof_0.5_filter1_linear_latestfeat_k8,3,runs\authority_spoof_0.5_filter1_linear_latestfeat_k8_s3q16,authority_spoof_0.5_filter1_linear_latestfeat_k8_s3q16,0.0,1.0,0.3958333333333333,0.0,,1.0,0.3958333333333333,1.0,1.0,0.6041666666666666
,,,0.5416666666666666,1.0,0.5416666666666666,1.0000 -> 0.5417 -> 0.5417 -> 0.5417,0.0,1.0,0.5416666666666666,,1.0,0.5416666666666666,1767347694.1908846,authority_spoof_0.5_filter1_linear_note+wrongpen_k4,3,runs\authority_spoof_0.5_filter1_linear_note+wrongpen_k4_s3q16,authority_spoof_0.5_filter1_linear_note+wrongpen_k4_s3q16,0.0,1.0,0.5416666666666666,0.10416666666666667,,1.0,0.5416666666666666,1.0,1.0,0.4583333333333333
,,,0.5,1.0,0.5,1.0000 -> 0.5000 -> 0.5000 -> 0.5000,0.0,1.0,0.5,,1.0,0.5,1767347449.942378,authority_spoof_0.5_filter1_linear_recencyrank_k4,3,runs\authority_spoof_0.5_filter1_linear_recencyrank_k4_s3q16,authority_spoof_0.5_filter1_linear_recencyrank_k4_s3q16,0.0,1.0,0.5,0.125,,1.0,0.5,1.0,1.0,0.5
,,,1.0,1.0,1.0,1.0000 -> 1.0000 -> 1.0000 -> 1.0000,0.0,1.0,1.0,,1.0,1.0,1767348755.0512176,authority_spoof_0.5_filter1_linear_spoofpen_hardneg_gold_first_k4,3,runs\authority_spoof_0.5_filter1_linear_spoofpen_hardneg_gold_first_k4_s3q16,authority_spoof_0.5_filter1_linear_spoofpen_hardneg_gold_first_k4_s3q16,0.0,,1.0,0.3125,,1.0,1.0,1.0,1.0,0.0
,,,1.0,1.0,1.0,1.0000 -> 1.0000 -> 1.0000 -> 1.0000,0.0,1.0,1.0,,1.0,1.0,1767348759.5244684,authority_spoof_0.5_filter1_linear_spoofpen_hardneg_gold_last_k4,3,runs\authority_spoof_0.5_filter1_linear_spoofpen_hardneg_gold_last_k4_s3q16,authority_spoof_0.5_filter1_linear_spoofpen_hardneg_gold_last_k4_s3q16,0.0,,1.0,0.4375,,1.0,1.0,1.0,1.0,0.0
,,,1.0,1.0,1.0,1.0000 -> 1.0000 -> 1.0000 -> 1.0000,0.0,1.0,1.0,,1.0,1.0,1767348757.2494278,authority_spoof_0.5_filter1_linear_spoofpen_hardneg_gold_middle_k4,3,runs\authority_spoof_0.5_filter1_linear_spoofpen_hardneg_gold_middle_k4_s3q16,authority_spoof_0.5_filter1_linear_spoofpen_hardneg_gold_middle_k4_s3q16,0.0,,1.0,0.5,,1.0,1.0,1.0,1.0,0.0
,,,1.0,1.0,1.0,1.0000 -> 1.0000 -> 1.0000 -> 1.0000,0.0,1.0,1.0,,1.0,1.0,1767348656.9431589,authority_spoof_0.5_filter1_linear_spoofpen_hardneg_k4,3,runs\authority_spoof_0.5_filter1_linear_spoofpen_hardneg_k4_s3q16,authority_spoof_0.5_filter1_linear_spoofpen_hardneg_k4_s3q16,0.0,,1.0,0.4375,,1.0,1.0,1.0,1.0,0.0
,,,1.0,1.0,1.0,1.0000 -> 1.0000 -> 1.0000 -> 1.0000,0.0,1.0,1.0,,1.0,1.0,1767348761.7628295,authority_spoof_0.5_filter1_linear_spoofpen_hardneg_shuffle_k4,3,runs\authority_spoof_0.5_filter1_linear_spoofpen_hardneg_shuffle_k4_s3q16,authority_spoof_0.5_filter1_linear_spoofpen_hardneg_shuffle_k4_s3q16,0.0,,1.0,0.5,,1.0,1.0,1.0,1.0,0.0
,,,0.6041666666666666,1.0,0.6041666666666666,1.0000 -> 0.6042 -> 0.6042 -> 0.6042,0.0,1.0,0.6041666666666666,,1.0,0.6041666666666666,1767348657.5771332,authority_spoof_0.5_filter1_linear_wrongpen_k4,3,runs\authority_spoof_0.5_filter1_linear_wrongpen_k4_s3q16,authority_spoof_0.5_filter1_linear_wrongpen_k4_s3q16,0.0,1.0,0.6041666666666666,0.20833333333333334,,1.0,0.6041666666666666,1.0,1.0,0.3958333333333333
,,,0.3125,1.0,0.3125,1.0000 -> 0.3125 -> 0.3125 -> 0.3125,0.0,1.0,0.3125,,1.0,0.3125,1767346474.322806,authority_spoof_0.5_filter1_prefer_update_latest_k4,3,runs\authority_spoof_0.5_filter1_prefer_update_latest_k4_s3q16,authority_spoof_0.5_filter1_prefer_update_latest_k4_s3q16,0.0,1.0,0.3125,0.0625,,1.0,0.3125,1.0,1.0,0.6875
,,,0.4375,0.7142857142857143,0.4375,1.0000 -> 0.4375 -> 0.4375 -> 0.4375,0.0,0.75,0.4375,,1.0,0.4375,1767345879.321387,authority_spoof_0.5_linear_k4,3,runs\authority_spoof_0.5_linear_k4_s3q16,authority_spoof_0.5_linear_k4_s3q16,0.25,0.5555555555555556,0.4375,0.2708333333333333,,1.0,0.4375,0.7142857142857143,1.0,0.3125
,0.0,,0.0625,0.09375,0.9375,1.0000 -> 0.6667 -> 0.0625 -> 0.0625,0.0,0.0625,0.0625,0.0,1.0,0.9375,1767423955.338745,authority_spoof_rate0.1_filter0_linear_k8_hard,3,runs\authority_spoof_rate0.1_filter0_linear_k8_hard_s3q16,authority_spoof_rate0.1_filter0_linear_k8_hard_s3q16,0.0,1.0,0.6666666666666666,0.0,,1.0,0.0625,0.09375,,0.0625
,0.0,,0.0625,0.06666666666666667,0.9375,1.0000 -> 0.9375 -> 0.0625 -> 0.0625,0.0,0.0625,0.0625,0.0,1.0,0.9375,1767423958.171687,authority_spoof_rate0.1_filter1_linear_k8_hard,3,runs\authority_spoof_rate0.1_filter1_linear_k8_hard_s3q16,authority_spoof_rate0.1_filter1_linear_k8_hard_s3q16,0.0,1.0,0.9375,0.0,,1.0,0.0625,0.06666666666666667,,0.0625
,0.0,,0.0625,0.12,0.5416666666666666,1.0000 -> 0.5208 -> 0.0625 -> 0.0625,0.0,0.16666666666666666,0.0625,0.0,1.0,0.5416666666666666,1767423956.3288848,authority_spoof_rate0.3_filter0_linear_k8_hard,3,runs\authority_spoof_rate0.3_filter0_linear_k8_hard_s3q16,authority_spoof_rate0.3_filter0_linear_k8_hard_s3q16,0.10416666666666667,0.7727272727272727,0.5208333333333334,0.10416666666666667,,1.0,0.0625,0.12,,0.3541666666666667
